2025-12-12 11:47:16 | WARNING  | HTTP 409: POST /api/login
2025-12-12 11:47:19 | INFO     | FORCE_LOGOUT
2025-12-12 11:47:19 | INFO     | LOGIN_SUCCESS
2025-12-12 11:48:25 | ERROR    | Create employee error: table users has no column named designation
2025-12-12 11:48:25 | WARNING  | HTTP 500: POST /api/hr/employees
2025-12-12 11:50:16 | INFO     | === VES HRMS Server Starting ===
2025-12-12 11:50:16 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 11:50:47 | INFO     | LOGIN_BLOCKED
2025-12-12 11:50:47 | WARNING  | HTTP 409: POST /api/login
2025-12-12 11:50:49 | INFO     | FORCE_LOGOUT
2025-12-12 11:50:49 | INFO     | LOGIN_SUCCESS
2025-12-12 11:51:40 | ERROR    | Create employee error: table users has no column named must_change_password
2025-12-12 11:51:40 | WARNING  | HTTP 500: POST /api/hr/employees
2025-12-12 11:54:46 | INFO     | === VES HRMS Server Starting ===
2025-12-12 11:54:46 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 11:55:54 | INFO     | LOGIN_BLOCKED
2025-12-12 11:55:54 | WARNING  | HTTP 409: POST /api/login
2025-12-12 12:03:32 | INFO     | === VES HRMS Server Starting ===
